U_B / V	U_A / V	S_1
0.00	-0.08	1
0.00	-0.09	1
0.00	-0.08	1
0.00	-0.09	1
0.00	-0.09	1
0.00	-0.08	1
0.00	-0.08	1
0.15	-0.08	1
0.30	-0.08	1
0.45	-0.08	1
0.60	-0.08	1
0.75	-0.08	1
0.85	-0.08	1
1.05	-0.09	1
1.15	-0.08	1
1.30	-0.09	1
1.45	-0.09	1
1.60	-0.09	1
1.75	-0.09	1
1.90	-0.09	1
2.05	-0.09	1
2.20	-0.08	1
2.35	-0.09	1
2.45	-0.08	1
2.65	-0.09	1
2.75	-0.09	1
2.85	-0.09	1
3.00	-0.08	1
3.15	-0.10	1
3.30	-0.08	1
3.45	-0.10	1
3.60	-0.08	1
3.75	-0.10	1
3.85	-0.08	1
4.05	-0.10	1
4.15	-0.08	1
4.30	-0.09	1
4.50	-0.08	1
4.60	-0.09	1
4.75	-0.08	1
4.85	-0.08	1
5.00	-0.07	1
5.20	-0.08	1
5.30	-0.07	1
5.45	-0.07	1
5.60	-0.06	1
5.75	-0.06	1
5.90	-0.05	1
6.05	-0.04	1
6.20	-0.03	1
6.30	-0.03	1
6.45	-0.01	1
6.60	-0.01	1
6.75	-0.01	1
6.90	0.00	1
7.00	0.00	1
7.20	0.00	1
7.30	-0.01	1
7.45	0.00	1
7.60	-0.01	1
7.75	-0.01	1
7.90	-0.02	1
8.05	-0.02	1
8.20	-0.03	1
8.30	-0.03	1
8.45	-0.04	1
8.60	-0.04	1
8.75	-0.05	1
8.90	-0.04	1
9.00	-0.05	1
9.20	-0.04	1
9.30	-0.05	1
9.45	-0.04	1
9.60	-0.05	1
9.75	-0.03	1
9.90	-0.02	1
10.05	0.00	1
10.20	0.01	1
10.30	0.04	1
10.45	0.06	1
10.60	0.09	1
10.75	0.13	1
10.90	0.17	1
11.05	0.21	1
11.20	0.25	1
11.35	0.28	1
11.45	0.29	1
11.60	0.29	1
11.75	0.27	1
11.90	0.24	1
12.00	0.22	1
12.15	0.19	1
12.30	0.17	1
12.45	0.13	1
12.60	0.11	1
12.75	0.08	1
12.90	0.06	1
13.05	0.04	1
13.20	0.02	1
13.35	0.00	1
13.45	-0.01	1
13.65	-0.02	1
13.80	-0.02	1
13.90	-0.02	1
14.05	-0.01	1
14.15	0.00	1
14.35	0.02	1
14.50	0.05	1
14.60	0.08	1
14.80	0.13	1
14.90	0.17	1
15.05	0.23	1
15.20	0.30	1
15.30	0.38	1
15.50	0.47	1
15.60	0.56	1
15.75	0.66	1
15.90	0.75	1
16.05	0.85	1
16.20	0.92	1
16.35	0.92	1
16.50	0.88	1
16.65	0.80	1
16.80	0.71	1
16.90	0.61	1
17.05	0.53	1
17.20	0.44	1
17.35	0.37	1
17.45	0.29	1
17.60	0.23	1
17.75	0.17	1
17.95	0.12	1
18.05	0.08	1
18.20	0.05	1
18.35	0.03	1
18.50	0.02	1
18.65	0.02	1
18.80	0.03	1
18.95	0.05	1
19.05	0.09	1
19.20	0.14	1
19.35	0.20	1
19.50	0.27	1
19.65	0.38	1
19.80	0.48	1
19.90	0.62	1
20.05	0.74	1
20.20	0.92	1
20.35	1.11	1
20.50	1.28	1
20.65	1.48	1
20.80	1.63	1
20.95	1.81	1
21.05	1.91	1
21.20	1.92	1
21.35	1.82	1
21.50	1.67	1
21.65	1.47	1
21.80	1.30	1
21.95	1.09	1
22.10	0.89	1
22.20	0.73	1
22.40	0.57	1
22.50	0.46	1
22.65	0.35	1
22.80	0.26	1
22.95	0.20	1
23.05	0.14	1
23.20	0.11	1
23.35	0.08	1
23.50	0.09	1
23.65	0.11	1
23.80	0.16	1
23.90	0.22	1
24.10	0.31	1
24.20	0.41	1
24.40	0.56	1
24.55	0.72	1
24.65	0.88	1
24.80	1.09	1
24.95	1.31	1
25.10	1.59	1
25.20	1.85	1
25.40	2.19	1
25.55	2.52	1
25.65	2.79	1
25.85	3.07	1
25.95	3.20	1
26.10	3.24	1
26.25	3.14	1
26.40	2.97	1
26.50	2.71	1
26.65	2.45	1
26.80	2.13	1
26.95	1.78	1
27.10	1.51	1
27.25	1.21	1
27.40	1.00	1
