U_B / V	U_A / V	S_1
0.05	-0.08	1
0.00	-0.10	1
0.05	-0.08	1
0.05	-0.09	1
0.00	-0.08	1
0.05	-0.09	1
0.00	-0.07	1
0.00	-0.09	1
0.05	-0.08	1
0.05	-0.08	1
0.10	-0.07	1
0.25	-0.08	1
0.40	-0.07	1
0.55	-0.08	1
0.70	-0.08	1
0.85	-0.08	1
1.00	-0.08	1
1.10	-0.08	1
1.25	-0.08	1
1.40	-0.08	1
1.55	-0.08	1
1.70	-0.08	1
1.80	-0.08	1
2.00	-0.08	1
2.10	-0.09	1
2.25	-0.08	1
2.40	-0.08	1
2.55	-0.08	1
2.70	-0.09	1
2.85	-0.08	1
3.00	-0.09	1
3.10	-0.08	1
3.25	-0.09	1
3.40	-0.08	1
3.50	-0.09	1
3.70	-0.08	1
3.80	-0.09	1
3.95	-0.08	1
4.10	-0.09	1
4.25	-0.08	1
4.40	-0.09	1
4.55	-0.08	1
4.70	-0.09	1
4.85	-0.08	1
5.00	-0.09	1
5.15	-0.08	1
5.25	-0.08	1
5.40	-0.07	1
5.50	-0.08	1
5.65	-0.07	1
5.85	-0.08	1
5.95	-0.07	1
6.10	-0.08	1
6.25	-0.08	1
6.40	-0.08	1
6.55	-0.07	1
6.70	-0.08	1
6.85	-0.08	1
6.95	-0.08	1
7.10	-0.08	1
7.25	-0.08	1
7.40	-0.08	1
7.55	-0.07	1
7.65	-0.08	1
7.85	-0.08	1
7.95	-0.08	1
8.10	-0.08	1
8.25	-0.08	1
8.40	-0.07	1
8.55	-0.08	1
8.70	-0.08	1
8.85	-0.08	1
8.95	-0.08	1
9.10	-0.08	1
9.25	-0.07	1
9.40	-0.09	1
9.55	-0.08	1
9.65	-0.08	1
9.85	-0.08	1
10.00	-0.09	1
10.10	-0.07	1
10.25	-0.09	1
10.40	-0.07	1
10.55	-0.08	1
10.70	-0.07	1
10.85	-0.07	1
11.00	-0.06	1
11.10	-0.06	1
11.25	-0.04	1
11.40	-0.04	1
11.55	-0.03	1
11.70	-0.03	1
11.85	-0.02	1
12.00	-0.03	1
12.10	-0.02	1
12.25	-0.03	1
12.45	-0.03	1
12.55	-0.04	1
12.70	-0.04	1
12.85	-0.05	1
13.00	-0.05	1
13.10	-0.05	1
13.25	-0.06	1
13.40	-0.06	1
13.55	-0.06	1
13.70	-0.06	1
13.85	-0.07	1
14.00	-0.06	1
14.15	-0.07	1
14.30	-0.07	1
14.45	-0.07	1
14.55	-0.07	1
14.70	-0.08	1
14.85	-0.07	1
15.00	-0.08	1
15.15	-0.07	1
15.25	-0.07	1
15.45	-0.06	1
15.55	-0.06	1
15.70	-0.03	1
15.85	-0.02	1
16.00	0.01	1
16.15	0.03	1
16.30	0.06	1
16.45	0.07	1
16.55	0.10	1
16.70	0.09	1
16.85	0.10	1
17.00	0.07	1
17.15	0.07	1
17.25	0.05	1
17.40	0.04	1
17.55	0.03	1
17.70	0.02	1
17.85	0.00	1
18.00	-0.01	1
18.10	-0.02	1
18.30	-0.02	1
18.40	-0.04	1
18.55	-0.04	1
18.70	-0.05	1
18.85	-0.05	1
19.00	-0.06	1
19.15	-0.06	1
19.30	-0.06	1
19.45	-0.07	1
19.60	-0.06	1
19.70	-0.07	1
19.85	-0.07	1
20.00	-0.07	1
20.15	-0.05	1
20.30	-0.04	1
20.40	-0.01	1
20.60	0.02	1
20.75	0.07	1
20.85	0.12	1
21.05	0.19	1
21.15	0.23	1
21.30	0.30	1
21.45	0.33	1
21.60	0.37	1
21.75	0.36	1
21.90	0.34	1
22.05	0.30	1
22.15	0.25	1
22.30	0.22	1
22.45	0.16	1
22.60	0.13	1
22.75	0.09	1
22.85	0.06	1
23.00	0.04	1
23.15	0.01	1
23.30	0.01	1
23.45	-0.02	1
23.60	-0.02	1
23.70	-0.04	1
23.85	-0.04	1
24.00	-0.06	1
24.15	-0.05	1
24.30	-0.06	1
24.45	-0.06	1
24.60	-0.06	1
24.75	-0.05	1
24.85	-0.04	1
25.05	-0.02	1
25.20	0.01	1
25.30	0.06	1
25.50	0.11	1
25.60	0.18	1
25.75	0.27	1
25.90	0.39	1
26.00	0.49	1
26.15	0.61	1
26.30	0.69	1
26.45	0.77	1
26.60	0.79	1
26.75	0.76	1
26.90	0.72	1
27.05	0.65	1
27.15	0.58	1
27.30	0.52	1
27.45	0.45	1
27.60	0.35	1
27.75	0.28	1
27.90	0.21	1
28.00	0.16	1
28.15	0.10	1
28.35	0.08	1
28.45	0.05	1
28.60	0.03	1
28.75	0.00	1
28.90	0.00	1
29.05	-0.02	1
29.15	-0.02	1
29.30	-0.05	1
29.45	-0.03	1
29.60	-0.04	1
29.70	-0.02	1
29.75	-0.03	1
29.70	-0.02	1
29.75	-0.03	1
29.75	-0.02	1
29.75	-0.03	1
29.75	-0.02	1
29.70	-0.03	1
29.70	-0.02	1
29.75	-0.02	1
29.70	-0.02	1
29.70	-0.02	1
29.70	-0.02	1
29.70	-0.02	1
29.70	-0.02	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
29.75	-0.03	1
29.70	-0.04	1
29.70	-0.02	1
29.75	-0.04	1
29.70	-0.03	1
29.75	-0.04	1
29.70	-0.02	1
29.70	-0.03	1
29.75	-0.02	1
29.70	-0.04	1
29.70	-0.02	1
29.75	-0.03	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.02	1
29.70	-0.02	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.02	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
29.70	-0.03	1
