# Strom [A] ; Magnetfeld [mT]
# 
0.00;0
-0.48;49
-0.84;85
-1.28;132
-1.76;183
-2.19;229
-2.51;263
-3.04;318
-3.34;350
-4.03;417
-4.12;425
-4.39;447
-4.87;484
-5.16;501
-5.48;519
-5.83;535
-6.22;551
-6.44;560
-6.99;578
-7.35;588
-7.52;593
-8.05;608
-8.56;620
-8.62;622
-8.62;621
0.36;-39
0.92;-101
1.43;-153
1.76;-188
2.43;-255
2.72;-286
3.21;-334
3.64;-377
4.03;-412
4.47;-449
4.83;-476
5.10;-494
5.82;-531
6.16;-545
6.51;-558
6.82;-568
7.30;-583
7.68;-593
7.95;-599
8.04;-601
8.39;-610
8.59;-614
8.63;-615
