# Strom: 2.41 A
# Magnetfeld: -257 mT
# Schnitt bei (663,461)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;807
2;797
3;786
4;770
5;754
6;751
7;749
8;742
9;736
10;752
11;768
12;771
13;775
14;782
15;789
16;781
17;774
18;801
19;828
20;870
21;911
22;986
23;1060
24;1225
25;1391
26;1489
27;1588
28;1514
29;1441
30;1384
31;1328
32;1293
33;1259
34;1356
35;1454
36;1590
37;1726
38;1657
39;1589
40;1468
41;1348
42;1214
43;1080
44;1029
45;978
46;944
47;910
48;881
49;852
50;825
51;799
52;807
53;816
54;802
55;788
56;797
57;806
58;814
59;823
60;813
61;803
62;806
63;809
64;848
65;887
66;908
67;929
68;985
69;1041
70;1237
71;1433
72;1671
73;1909
74;1951
75;1992
76;1902
77;1812
78;1692
79;1572
80;1553
81;1534
82;1602
83;1670
84;1911
85;2152
86;2154
87;2156
88;1962
89;1768
90;1557
91;1347
92;1267
93;1187
94;1095
95;1002
96;975
97;948
98;937
99;927
100;912
101;898
102;891
103;885
104;876
105;867
106;864
107;861
108;872
109;884
110;888
111;892
112;900
113;908
114;944
115;981
116;1007
117;1032
118;1061
119;1090
120;1202
121;1315
122;1562
123;1810
124;2057
125;2305
126;2357
127;2410
128;2246
129;2083
130;1950
131;1817
132;1747
133;1677
134;1778
135;1879
136;2115
137;2351
138;2465
139;2580
140;2436
141;2293
142;2037
143;1781
144;1606
145;1430
146;1340
147;1249
148;1157
149;1065
150;1037
151;1009
152;999
153;989
154;968
155;946
156;947
157;947
158;923
159;899
160;908
161;916
162;920
163;925
164;928
165;931
166;911
167;890
168;930
169;970
170;990
171;1009
172;1033
173;1058
174;1094
175;1130
176;1209
177;1289
178;1486
179;1683
180;1939
181;2195
182;2356
183;2517
184;2460
185;2404
186;2210
187;2016
188;1915
189;1815
190;1790
191;1766
192;1835
193;1904
194;2140
195;2376
196;2513
197;2651
198;2554
199;2457
200;2237
201;2017
202;1822
203;1627
204;1492
205;1357
206;1271
207;1184
208;1145
209;1105
210;1064
211;1023
212;1004
213;986
214;961
215;936
216;954
217;972
218;957
219;943
220;953
221;964
222;958
223;952
224;957
225;961
226;939
227;917
228;935
229;953
230;960
231;967
232;981
233;996
234;1014
235;1032
236;1068
237;1104
238;1150
239;1196
240;1289
241;1383
242;1574
243;1765
244;2001
245;2237
246;2403
247;2570
248;2611
249;2653
250;2524
251;2396
252;2194
253;1992
254;1908
255;1825
256;1836
257;1847
258;1902
259;1957
260;2109
261;2262
262;2471
263;2681
264;2695
265;2710
266;2578
