# Strom: 1.33 A
# Magnetfeld: -145 mT
# Schnitt bei (663,461)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;1487
2;1366
3;1244
4;1160
5;1076
6;1050
7;1024
8;1001
9;979
10;954
11;929
12;926
13;923
14;907
15;890
16;882
17;874
18;861
19;848
20;855
21;862
22;855
23;848
24;869
25;890
26;888
27;887
28;883
29;879
30;890
31;901
32;905
33;908
34;916
35;924
36;940
37;957
38;985
39;1013
40;1032
41;1051
42;1094
43;1137
44;1199
45;1262
46;1386
47;1510
48;1693
49;1876
50;2096
51;2316
52;2484
53;2652
54;2639
55;2626
56;2578
57;2531
58;2572
59;2613
60;2620
61;2627
62;2585
63;2543
64;2370
65;2197
66;1986
67;1775
68;1586
69;1397
70;1320
71;1243
72;1179
73;1116
74;1088
75;1060
76;1035
77;1010
78;1001
79;992
80;967
81;942
82;920
83;899
84;910
85;921
86;903
87;886
88;903
89;919
90;907
91;895
92;909
93;924
94;916
95;908
96;900
97;893
98;900
99;907
100;906
101;905
102;914
103;922
104;929
105;936
106;950
107;964
108;950
109;936
110;951
111;966
112;998
113;1031
114;1033
115;1036
116;1063
117;1091
118;1120
119;1149
120;1219
121;1289
122;1396
123;1503
124;1624
125;1746
126;1954
127;2162
128;2345
129;2528
130;2648
131;2768
132;2728
133;2689
134;2671
135;2653
136;2620
137;2587
138;2633
139;2679
140;2718
141;2757
142;2717
143;2676
144;2536
145;2396
146;2175
147;1955
148;1799
149;1644
150;1548
151;1452
152;1361
153;1271
154;1215
155;1159
156;1146
157;1134
158;1105
159;1076
160;1090
161;1104
162;1050
163;997
164;993
165;990
166;981
167;973
168;985
169;998
170;978
171;959
172;946
173;934
174;939
175;944
176;945
177;947
178;925
179;903
180;900
181;897
182;909
183;921
184;914
185;908
186;927
187;947
188;950
189;954
190;949
191;943
192;920
193;896
194;932
195;967
196;950
197;933
198;957
199;981
200;975
201;969
202;966
203;964
204;963
205;962
206;988
207;1014
208;1023
209;1032
210;1055
211;1079
212;1101
213;1123
214;1150
215;1176
216;1207
217;1239
218;1291
219;1344
220;1384
221;1424
222;1524
223;1623
224;1733
225;1843
226;2017
227;2191
228;2324
229;2457
230;2549
231;2641
232;2740
233;2839
234;2855
235;2871
236;2842
237;2813
238;2769
239;2726
240;2700
241;2675
242;2696
243;2717
244;2760
245;2803
246;2815
247;2826
248;2859
249;2893
250;2813
251;2734
252;2687
253;2640
254;2478
255;2316
256;2205
257;2095
258;1987
259;1880
260;1750
261;1620
262;1537
263;1454
264;1412
265;1370
266;1331
267;1293
268;1272
269;1251
270;1202
271;1154
272;1151
273;1149
274;1124
275;1099
276;1099
277;1099
278;1079
279;1060
280;1034
281;1009
282;1018
283;1028
284;1011
285;995
286;994
287;994
288;991
289;989
290;1001
291;1014
292;994
293;975
294;981
295;988
296;985
297;981
298;971
299;960
300;961
301;961
302;954
303;948
304;942
305;937
306;926
307;916
308;934
309;953
310;950
311;948
312;946
313;945
314;941
315;938
316;951
317;964
318;939
319;914
320;916
321;918
322;916
323;914
324;932
325;949
326;956
327;963
328;959
329;956
330;942
331;928
332;923
333;919
334;944
335;970
336;959
337;949
338;963
339;977
340;972
341;968
342;951
343;934
344;929
345;925
346;958
347;991
348;979
349;967
350;991
351;1015
352;1008
353;1001
354;987
355;974
356;970
357;967
358;987
359;1007
360;993
361;979
362;980
363;981
364;1004
365;1027
366;1027
367;1027
368;1029
