# Strom: 5.70 A
# Magnetfeld: -525 mT
# Schnitt bei (663,461)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;1593
2;1430
3;1268
4;1189
5;1111
6;1077
7;1043
8;1006
9;968
10;980
11;992
12;1005
13;1019
14;1065
15;1111
16;1193
17;1276
18;1420
19;1565
20;1727
21;1890
22;1925
23;1961
24;1906
25;1852
26;1842
27;1833
28;1956
29;2079
30;2377
31;2675
32;2763
33;2851
34;2661
35;2471
36;2212
37;1953
38;1923
39;1894
40;2010
41;2126
42;2165
43;2205
44;2056
45;1908
46;1717
47;1526
48;1391
49;1256
50;1170
51;1083
52;1065
53;1048
54;1022
55;996
56;988
57;980
58;993
59;1007
60;1056
61;1106
62;1183
63;1260
64;1402
65;1544
66;1683
67;1823
68;1921
69;2018
70;2009
71;2000
72;1935
73;1870
74;1904
75;1939
76;2140
77;2341
78;2617
79;2894
80;2932
81;2970
82;2720
83;2470
84;2280
85;2090
86;2011
87;1933
88;2029
89;2125
90;2202
91;2280
92;2187
93;2094
94;1911
95;1729
96;1541
97;1354
98;1270
99;1187
100;1150
101;1114
102;1080
103;1047
104;1042
105;1037
106;1041
107;1044
108;1037
109;1030
110;1076
111;1123
112;1179
113;1235
114;1359
115;1483
116;1619
117;1756
118;1870
119;1985
120;2016
121;2047
122;2023
123;2000
124;1969
125;1939
126;1980
127;2022
128;2214
129;2406
130;2712
131;3018
132;3045
133;3073
134;2887
135;2701
136;2459
137;2217
138;2090
139;1963
140;2004
141;2045
142;2202
143;2359
144;2366
145;2373
146;2220
147;2068
148;1889
149;1711
150;1566
151;1422
152;1343
153;1264
154;1216
155;1169
156;1137
157;1105
158;1073
159;1041
160;1065
161;1090
162;1088
163;1086
164;1106
165;1126
166;1157
167;1189
168;1267
169;1345
170;1437
171;1528
172;1682
173;1837
174;1951
175;2065
176;2098
177;2132
178;2147
179;2163
180;2114
181;2065
182;2028
183;1991
184;2094
185;2198
186;2426
187;2655
188;2906
189;3158
190;3171
191;3185
192;2958
193;2731
194;2503
195;2276
196;2178
197;2080
198;2083
199;2086
200;2165
201;2245
202;2317
203;2389
204;2380
205;2371
206;2204
207;2036
208;1894
209;1751
210;1602
211;1453
212;1376
213;1299
214;1248
215;1197
216;1176
217;1156
218;1139
219;1122
220;1113
221;1104
222;1101
223;1099
224;1102
225;1105
226;1114
227;1122
228;1163
229;1203
230;1241
231;1278
232;1371
233;1465
234;1589
235;1714
236;1833
237;1953
238;2050
239;2147
240;2178
241;2209
242;2221
243;2233
244;2157
245;2082
246;2082
247;2082
248;2129
249;2177
250;2284
251;2391
252;2620
253;2849
254;3097
255;3346
256;3319
257;3292
258;3151
259;3009
260;2754
261;2499
262;2346
263;2193
264;2140
265;2088
266;2121
267;2155
268;2228
269;2301
270;2406
271;2510
272;2488
273;2467
274;2361
275;2255
276;2104
277;1954
278;1802
279;1650
280;1562
281;1474
282;1403
283;1333
284;1303
285;1273
286;1238
287;1204
288;1198
289;1192
290;1196
291;1200
292;1162
293;1124
294;1127
295;1130
296;1134
297;1139
298;1146
299;1153
300;1174
301;1194
302;1214
303;1234
304;1297
305;1361
306;1414
307;1468
308;1583
309;1697
310;1807
311;1916
312;2013
313;2111
314;2186
315;2261
316;2270
317;2280
318;2262
319;2245
320;2204
321;2163
322;2118
323;2074
324;2077
325;2081
326;2144
327;2208
328;2342
329;2476
330;2683
331;2891
332;3075
333;3259
334;3363
335;3468
336;3387
337;3307
338;3152
339;2996
340;2802
341;2608
342;2468
343;2329
344;2236
345;2143
346;2142
347;2142
348;2181
349;2221
350;2289
351;2357
352;2443
353;2529
354;2565
355;2601
356;2540
357;2480
358;2392
359;2304
360;2177
361;2049
362;1907
363;1766
364;1698
365;1630
366;1561
367;1491
368;1439
369;1386
370;1354
371;1323
372;1289
373;1256
374;1269
375;1281
376;1233
377;1185
378;1175
379;1164
380;1158
381;1152
382;1139
383;1125
384;1134
385;1142
386;1162
387;1183
388;1175
389;1167
390;1188
391;1209
392;1226
393;1244
394;1252
395;1261
396;1292
397;1323
398;1356
399;1389
400;1454
401;1519
402;1591
403;1664
404;1733
405;1803
406;1911
407;2020
408;2070
409;2120
410;2198
411;2276
412;2285
413;2294
414;2322
415;2350
416;2344
417;2338
418;2300
419;2263
420;2223
421;2184
422;2184
423;2184
424;2177
425;2170
426;2165
427;2161
428;2179
429;2197
430;2325
431;2452
432;2590
433;2729
434;2862
435;2995
436;3145
437;3296
438;3422
439;3548
440;3567
441;3586
442;3574
443;3562
444;3449
445;3337
446;3176
447;3015
448;2902
449;2790
450;2644
451;2499
452;2436
453;2373
454;2315
455;2257
456;2214
457;2171
458;2182
459;2194
460;2237
461;2281
462;2303
463;2326
464;2394
465;2463
466;2529
467;2596
468;2621
469;2646
470;2659
471;2672
472;2655
473;2639
474;2582
475;2525
476;2450
477;2375
478;2309
479;2242
480;2159
481;2076
482;2012
483;1949
484;1859
485;1770
486;1728
487;1686
488;1625
489;1565
490;1537
491;1510
492;1464
493;1419
494;1394
495;1370
496;1347
497;1325
498;1297
499;1269
500;1282
501;1294
502;1254
503;1214
504;1220
505;1226
506;1212
507;1199
508;1178
509;1158
510;1167
511;1176
512;1171
513;1165
514;1135
515;1106
516;1122
517;1138
518;1153
519;1168
520;1145
521;1121
522;1128
523;1134
524;1125
525;1115
526;1111
527;1107
528;1109
529;1111
530;1136
531;1161
532;1151
533;1141
534;1149
535;1157
536;1181
537;1206
538;1197
539;1189
540;1190
541;1192
542;1197
543;1202
544;1194
545;1186
546;1221
547;1257
548;1267
549;1278
550;1303
551;1328
552;1332
553;1336
554;1358
555;1381
556;1415
557;1449
558;1435
559;1422
560;1475
561;1528
562;1555
563;1583
564;1626
565;1670
566;1673
567;1676
568;1705
569;1734
570;1776
571;1818
572;1858
573;1899
574;1920
575;1942
576;1964
577;1987
578;2033
579;2080
580;2099
581;2117
582;2155
583;2194
584;2227
585;2260
586;2291
587;2323
588;2311
589;2299
590;2328
591;2357
592;2334
593;2310
594;2333
595;2356
596;2359
597;2363
598;2385
599;2408
600;2405
601;2402
602;2415
603;2428
604;2432
605;2436
606;2403
607;2370
608;2374
609;2377
610;2391
611;2405
612;2367
613;2329
614;2340
615;2352
616;2362
617;2373
618;2361
619;2348
620;2358
621;2368
622;2374
623;2380
624;2348
625;2316
626;2292
627;2269
628;2296
629;2322
630;2308
631;2295
632;2293
633;2292
634;2281
635;2271
636;2259
637;2247
638;2229
639;2211
640;2207
641;2203
642;2221
643;2239
644;2214
645;2188
646;2169
647;2149
648;2198
649;2247
650;2270
651;2294
652;2253
653;2213
654;2229
655;2246
656;2241
657;2236
658;2211
659;2185
660;2192
661;2198
662;2207
663;2215
664;2204
665;2194
666;2197
667;2201
668;2204
669;2207
670;2206
671;2204
672;2216
673;2228
674;2220
675;2212
676;2193
677;2175
678;2187
679;2200
680;2202
681;2204
682;2220
683;2236
684;2237
685;2239
686;2261
687;2284
688;2278
689;2273
690;2260
691;2247
692;2255
693;2264
694;2291
695;2318
696;2318
697;2318
698;2280
699;2241
700;2281
701;2321
702;2301
703;2282
704;2296
705;2311
706;2324
707;2337
708;2341
709;2346
710;2337
711;2328
712;2355
713;2381
714;2374
715;2367
716;2362
717;2356
718;2362
719;2368
720;2382
721;2396
722;2353
723;2310
724;2322
725;2334
726;2338
727;2342
728;2348
729;2354
730;2331
731;2308
732;2320
733;2333
734;2297
735;2261
736;2245
737;2229
738;2223
739;2217
740;2174
741;2131
742;2136
743;2141
744;2104
745;2066
746;2049
747;2032
748;1986
749;1941
750;1903
751;1865
752;1865
753;1866
754;1832
755;1799
756;1761
757;1723
758;1675
759;1627
760;1585
761;1543
762;1543
763;1543
764;1515
765;1486
766;1468
767;1451
768;1416
769;1382
770;1351
771;1320
772;1331
773;1342
774;1306
775;1271
776;1241
777;1212
778;1224
779;1236
780;1245
781;1254
782;1214
783;1173
784;1168
785;1163
786;1162
787;1161
788;1145
789;1130
790;1125
791;1120
792;1131
793;1142
794;1123
795;1104
796;1098
797;1092
798;1099
799;1107
800;1106
801;1105
802;1123
803;1141
804;1129
805;1118
806;1116
807;1114
808;1111
809;1109
810;1112
811;1116
812;1119
813;1123
814;1126
815;1130
816;1145
817;1161
818;1170
819;1180
820;1187
821;1195
822;1196
823;1198
824;1223
825;1249
826;1260
827;1272
828;1297
829;1323
830;1349
831;1376
832;1439
833;1502
834;1513
835;1523
836;1586
837;1648
838;1693
839;1739
840;1827
841;1916
842;1998
843;2080
844;2165
845;2250
846;2295
847;2340
848;2387
849;2434
850;2470
851;2507
852;2506
853;2505
854;2493
855;2480
856;2486
857;2493
858;2422
859;2351
860;2319
861;2287
862;2258
863;2228
864;2189
865;2151
866;2188
867;2226
868;2250
869;2275
870;2334
871;2394
872;2486
873;2579
874;2689
875;2799
876;2856
877;2914
878;3048
879;3182
880;3252
881;3322
882;3299
883;3277
884;3314
885;3351
886;3278
887;3206
888;3088
889;2970
890;2836
891;2703
892;2608
893;2513
894;2430
895;2347
896;2263
897;2179
898;2158
899;2137
900;2153
901;2169
902;2188
903;2206
904;2207
905;2208
906;2230
907;2253
908;2297
909;2341
910;2309
911;2278
912;2241
913;2205
914;2190
915;2175
916;2080
917;1985
918;1957
919;1930
920;1805
921;1681
922;1633
923;1584
924;1497
925;1411
926;1363
927;1315
928;1278
929;1240
930;1235
931;1230
932;1197
933;1164
934;1156
935;1148
936;1162
937;1175
938;1148
939;1121
940;1144
941;1167
942;1166
943;1166
944;1152
945;1138
946;1168
947;1199
948;1215
949;1231
950;1246
951;1261
952;1307
953;1354
954;1372
955;1390
956;1475
957;1560
958;1636
959;1711
960;1814
961;1917
962;1996
963;2075
964;2185
965;2294
966;2337
967;2380
968;2432
969;2485
970;2494
971;2504
972;2433
973;2362
974;2337
975;2313
976;2310
977;2307
978;2351
979;2395
980;2480
981;2565
982;2674
983;2783
984;2869
985;2955
986;3029
987;3103
988;3177
989;3252
990;3185
991;3117
992;2979
993;2842
994;2701
995;2561
996;2446
997;2331
998;2259
999;2186
1000;2169
1001;2152
1002;2162
1003;2173
1004;2201
1005;2228
1006;2215
1007;2203
1008;2178
1009;2154
1010;2072
1011;1991
1012;1934
1013;1878
1014;1787
1015;1697
1016;1587
1017;1478
1018;1430
1019;1382
1020;1315
1021;1248
1022;1215
1023;1183
1024;1167
1025;1151
1026;1133
1027;1114
1028;1112
1029;1110
1030;1114
1031;1119
1032;1153
1033;1188
1034;1180
1035;1172
1036;1203
1037;1233
1038;1266
1039;1299
1040;1374
1041;1449
1042;1538
1043;1627
1044;1705
1045;1782
1046;1897
1047;2011
1048;2108
1049;2206
1050;2257
1051;2309
1052;2327
1053;2345
1054;2333
1055;2321
1056;2290
1057;2258
1058;2319
1059;2379
1060;2446
1061;2514
1062;2600
1063;2686
1064;2814
1065;2942
1066;2974
1067;3006
1068;2955
1069;2905
1070;2774
1071;2644
1072;2541
1073;2438
1074;2335
1075;2233
1076;2183
1077;2134
1078;2134
1079;2135
1080;2114
1081;2094
1082;2092
1083;2089
1084;2043
1085;1996
1086;1904
1087;1812
1088;1703
1089;1595
1090;1524
1091;1454
1092;1373
1093;1293
1094;1243
1095;1193
1096;1170
1097;1146
1098;1140
1099;1134
1100;1136
1101;1139
1102;1120
1103;1102
1104;1125
1105;1149
1106;1203
1107;1258
1108;1333
1109;1408
1110;1454
1111;1499
1112;1619
1113;1740
1114;1823
1115;1906
1116;2000
1117;2095
1118;2178
1119;2262
1120;2294
1121;2327
1122;2321
1123;2316
1124;2320
1125;2325
1126;2389
1127;2453
1128;2541
1129;2630
1130;2735
1131;2841
1132;2866
1133;2891
1134;2826
1135;2762
1136;2655
1137;2548
1138;2434
1139;2321
1140;2220
1141;2119
1142;2128
1143;2137
1144;2097
1145;2058
1146;2040
1147;2022
1148;1930
1149;1839
1150;1759
1151;1679
1152;1581
1153;1484
1154;1401
1155;1318
1156;1256
1157;1194
1158;1170
1159;1146
1160;1129
1161;1113
1162;1112
1163;1110
1164;1145
1165;1180
1166;1205
1167;1231
1168;1305
1169;1379
1170;1464
1171;1549
1172;1646
1173;1744
1174;1826
1175;1909
1176;2042
1177;2175
1178;2244
1179;2313
1180;2292
1181;2272
1182;2316
1183;2361
1184;2394
1185;2427
1186;2460
1187;2493
1188;2565
1189;2636
1190;2689
1191;2742
1192;2701
1193;2660
1194;2529
1195;2398
1196;2284
1197;2171
1198;2106
1199;2041
1200;2030
1201;2019
1202;1984
1203;1949
1204;1881
1205;1813
1206;1711
1207;1610
1208;1519
1209;1429
1210;1365
1211;1302
1212;1236
1213;1171
1214;1159
1215;1148
1216;1145
1217;1141
1218;1169
1219;1197
1220;1237
1221;1277
1222;1338
1223;1400
1224;1490
1225;1581
1226;1669
1227;1757
1228;1882
1229;2008
1230;2071
1231;2134
1232;2216
1233;2298
1234;2335
1235;2372
1236;2423
1237;2474
1238;2495
1239;2517
1240;2555
1241;2592
1242;2596
1243;2601
1244;2535
1245;2470
1246;2397
1247;2325
1248;2221
1249;2117
1250;2071
1251;2025
1252;1963
1253;1901
1254;1862
1255;1823
1256;1719
1257;1616
1258;1525
1259;1435
1260;1354
1261;1274
1262;1196
1263;1117
1264;1136
1265;1156
1266;1168
1267;1180
1268;1210
1269;1240
1270;1304
1271;1368
1272;1445
1273;1523
1274;1626
1275;1729
1276;1803
1277;1877
1278;1978
1279;2080
1280;2137
1281;2194
1282;2243
1283;2292
1284;2357
1285;2423
1286;2456
1287;2490
1288;2504
1289;2518
1290;2517
1291;2516
1292;2430
1293;2345
1294;2249
1295;2153
1296;2075
1297;1998
1298;1933
1299;1869
1300;1815
1301;1761
1302;1682
1303;1604
1304;1525
1305;1447
1306;1370
