# Strom: 6.79 A
# Magnetfeld: -577 mT
# Schnitt bei (663,461)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;1679
2;1492
3;1306
4;1216
5;1126
6;1092
7;1059
8;1029
9;1000
10;999
11;998
12;1038
13;1078
14;1147
15;1216
16;1366
17;1517
18;1640
19;1763
20;1814
21;1865
22;1856
23;1848
24;1804
25;1760
26;1776
27;1792
28;1989
29;2187
30;2482
31;2777
32;2759
33;2742
34;2501
35;2260
36;2038
37;1817
38;1788
39;1759
40;1850
41;1941
42;2054
43;2168
44;2074
45;1981
46;1812
47;1643
48;1468
49;1293
50;1209
51;1125
52;1098
53;1072
54;1039
55;1005
56;1031
57;1058
58;1049
59;1041
60;1110
61;1180
62;1287
63;1394
64;1581
65;1769
66;1842
67;1916
68;1923
69;1931
70;1886
71;1841
72;1817
73;1792
74;1856
75;1920
76;2147
77;2375
78;2658
79;2942
80;2919
81;2897
82;2606
83;2316
84;2104
85;1892
86;1825
87;1759
88;1837
89;1916
90;2062
91;2207
92;2213
93;2218
94;2023
95;1828
96;1664
97;1500
98;1373
99;1245
100;1183
101;1120
102;1102
103;1083
104;1064
105;1046
106;1053
107;1061
108;1061
109;1062
110;1127
111;1192
112;1297
113;1403
114;1540
115;1677
116;1810
117;1944
118;2007
119;2069
120;2032
121;1994
122;1959
123;1923
124;1846
125;1768
126;1894
127;2019
128;2268
129;2518
130;2771
131;3025
132;3034
133;3044
134;2797
135;2550
136;2290
137;2031
138;1938
139;1845
140;1902
141;1959
142;2056
143;2154
144;2248
145;2343
146;2268
147;2194
148;2030
149;1867
150;1706
151;1546
152;1438
153;1331
154;1244
155;1157
156;1146
157;1134
158;1090
159;1046
160;1085
161;1125
162;1116
163;1107
164;1130
165;1154
166;1225
167;1295
168;1401
169;1506
170;1641
171;1776
172;1900
173;2024
174;2079
175;2134
176;2128
177;2122
178;2066
179;2011
180;1948
181;1886
182;1906
183;1925
184;2061
185;2196
186;2476
187;2757
188;2983
189;3210
190;3182
191;3154
192;2904
193;2654
194;2428
195;2203
196;2059
197;1916
198;1897
199;1879
200;1987
201;2095
202;2205
203;2314
204;2354
205;2395
206;2286
207;2177
208;2013
209;1849
210;1707
211;1566
212;1466
213;1367
214;1288
215;1210
216;1190
217;1171
218;1146
219;1121
220;1108
221;1096
222;1104
223;1112
224;1116
225;1121
226;1159
227;1198
228;1250
229;1302
230;1372
231;1443
232;1543
233;1644
234;1790
235;1936
236;2035
237;2133
238;2131
239;2128
240;2157
241;2186
242;2106
243;2027
244;1967
245;1907
246;1896
247;1885
248;1978
249;2072
250;2277
251;2482
252;2731
253;2980
254;3151
255;3323
256;3317
257;3312
258;3096
259;2881
260;2631
261;2382
262;2218
263;2054
264;1991
265;1929
266;1927
267;1924
268;2027
269;2131
270;2257
271;2384
272;2421
273;2459
274;2412
275;2365
276;2227
277;2089
278;1971
279;1852
280;1750
281;1648
282;1542
283;1437
284;1383
285;1328
286;1281
287;1234
288;1209
289;1184
290;1179
291;1174
292;1172
293;1170
294;1162
295;1154
296;1165
297;1176
298;1212
299;1248
300;1265
301;1283
302;1336
303;1389
304;1455
305;1522
306;1620
307;1718
308;1818
309;1919
310;2031
311;2144
312;2188
313;2233
314;2240
315;2248
316;2235
317;2223
318;2187
319;2152
320;2081
321;2011
322;1995
323;1979
324;1972
325;1966
326;2056
327;2146
328;2324
329;2502
330;2714
331;2925
332;3176
333;3427
334;3462
335;3497
336;3405
337;3312
338;3133
339;2955
340;2740
341;2525
342;2360
343;2196
344;2124
345;2052
346;1990
347;1928
348;1969
349;2011
350;2087
351;2164
352;2255
353;2346
354;2424
355;2503
356;2524
357;2545
358;2519
359;2494
