# Strom: 7.62 A
# Magnetfeld: -599 mT
# Schnitt bei (663,461)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;1623
2;1712
3;1802
4;1899
5;1995
6;2046
7;2096
8;2045
9;1994
10;1873
11;1752
12;1613
13;1474
14;1387
15;1300
16;1228
17;1156
18;1126
19;1095
20;1074
21;1054
22;1044
23;1035
24;1041
25;1048
26;1058
27;1068
28;1122
29;1177
30;1224
31;1271
32;1412
33;1553
34;1643
35;1733
36;1808
37;1884
38;1927
39;1971
40;1927
41;1883
42;1848
43;1812
44;1796
45;1780
46;1737
47;1694
48;1721
49;1749
50;1869
51;1988
52;2175
53;2362
54;2610
55;2857
56;2971
57;3086
58;2979
59;2872
60;2648
61;2425
62;2234
63;2043
64;1930
65;1818
66;1772
67;1726
68;1757
69;1788
70;1857
71;1927
72;2037
73;2147
74;2211
75;2276
76;2286
77;2297
78;2154
79;2011
80;1899
81;1788
82;1689
83;1590
84;1484
85;1377
86;1341
87;1305
88;1253
89;1200
90;1172
91;1144
92;1137
93;1130
94;1129
95;1127
96;1130
97;1133
98;1150
99;1166
100;1211
101;1256
102;1288
103;1321
104;1413
105;1506
106;1623
107;1740
108;1831
109;1922
110;2008
111;2095
112;2165
113;2235
114;2250
115;2266
116;2222
117;2179
118;2133
119;2087
120;2034
121;1982
122;1940
123;1899
124;1888
125;1878
126;1925
127;1972
128;2104
129;2236
130;2405
131;2573
132;2843
133;3114
134;3249
135;3384
136;3392
137;3400
138;3254
139;3109
140;2913
141;2717
142;2500
143;2283
144;2140
145;1998
146;1946
147;1894
148;1854
149;1813
150;1840
151;1867
152;1926
153;1985
154;2056
155;2126
156;2192
157;2257
158;2284
159;2311
160;2308
161;2305
162;2224
163;2143
164;2051
165;1959
166;1873
167;1788
168;1679
169;1571
170;1503
171;1435
172;1375
173;1316
174;1284
175;1252
176;1224
177;1197
178;1179
179;1162
180;1165
181;1168
182;1135
183;1103
184;1095
185;1088
186;1108
187;1128
188;1152
189;1176
190;1185
191;1193
192;1229
193;1264
194;1309
195;1354
196;1389
197;1425
198;1476
199;1527
200;1596
201;1666
202;1770
203;1873
204;1956
205;2038
206;2089
207;2140
208;2137
209;2135
210;2153
211;2172
212;2148
213;2124
214;2109
215;2093
216;2056
217;2020
218;1977
219;1935
220;1898
221;1861
222;1828
223;1795
224;1821
225;1848
226;1863
227;1878
228;1910
229;1943
230;2035
231;2127
232;2258
233;2389
234;2560
235;2731
236;2883
237;3035
238;3176
239;3317
240;3393
241;3469
242;3469
243;3470
244;3399
245;3329
246;3187
247;3045
248;2918
249;2791
250;2604
251;2417
252;2347
253;2277
254;2181
255;2085
256;2047
257;2010
258;1968
259;1927
260;1935
261;1943
262;1916
263;1889
264;1942
265;1995
266;2058
267;2120
268;2196
269;2271
270;2297
271;2323
272;2381
273;2440
274;2482
275;2524
276;2562
277;2600
278;2581
279;2562
280;2518
281;2474
282;2436
283;2399
284;2332
285;2266
286;2219
287;2173
288;2081
289;1989
290;1936
291;1884
292;1812
293;1741
294;1686
295;1631
296;1587
297;1543
298;1494
299;1446
300;1412
301;1377
302;1370
303;1363
304;1336
305;1309
306;1288
307;1268
308;1263
309;1258
310;1219
311;1181
312;1186
313;1192
314;1178
315;1164
316;1173
317;1182
318;1170
319;1158
320;1166
321;1173
322;1148
323;1124
324;1140
325;1157
326;1152
327;1147
328;1153
329;1159
330;1166
331;1173
332;1180
333;1187
334;1188
335;1189
336;1208
337;1228
338;1247
339;1266
340;1261
341;1255
342;1279
343;1304
344;1296
345;1289
346;1331
347;1374
348;1406
349;1437
350;1432
351;1427
352;1478
353;1528
354;1546
355;1565
356;1592
357;1620
358;1665
359;1710
360;1739
361;1768
362;1803
363;1837
364;1858
365;1878
366;1892
367;1905
368;1940
369;1976
370;2019
371;2063
372;2085
373;2107
374;2100
375;2094
376;2117
377;2141
378;2167
379;2193
380;2199
381;2204
382;2207
383;2210
384;2223
385;2236
386;2236
387;2236
388;2245
389;2254
390;2260
391;2267
392;2233
