# Strom: 0.09 A
# Magnetfeld: -11 mT
# Schnitt bei (663,461)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;1131
2;1073
3;1014
4;978
5;941
6;902
7;864
8;848
9;833
10;833
11;833
12;833
13;834
14;804
15;775
16;789
17;803
18;795
19;787
20;788
21;790
22;773
23;757
24;771
25;786
26;776
27;767
28;767
29;767
30;777
31;787
32;799
33;812
34;828
35;845
36;851
37;858
38;882
39;906
40;927
41;949
42;962
43;976
44;1026
45;1077
46;1144
47;1212
48;1313
49;1414
50;1622
51;1830
52;2135
53;2439
54;2801
55;3163
56;3275
57;3387
58;3258
59;3129
60;2866
61;2602
62;2298
63;1994
64;1821
65;1648
66;1501
67;1355
68;1269
69;1183
70;1106
71;1029
72;1013
73;997
74;967
75;938
76;919
77;900
78;880
79;861
80;849
81;838
82;838
83;838
84;835
85;831
86;823
87;815
88;796
89;777
90;794
91;812
92;811
93;810
94;798
95;787
96;797
97;807
98;810
99;813
100;820
101;827
102;831
103;835
104;832
105;829
106;836
107;843
108;839
109;836
110;843
111;850
112;856
113;861
114;875
115;890
116;909
117;928
118;932
119;937
120;992
121;1047
122;1075
123;1104
124;1171
125;1238
126;1326
127;1414
128;1580
129;1745
130;2009
131;2273
132;2534
133;2795
134;2992
135;3189
136;3174
137;3159
138;3027
139;2894
140;2645
141;2395
142;2201
143;2008
144;1836
145;1665
146;1547
147;1429
148;1344
149;1260
150;1185
151;1111
152;1099
153;1088
154;1028
155;969
156;964
157;960
158;942
159;924
160;917
161;911
162;893
163;874
164;868
165;861
166;857
167;854
168;853
169;853
170;852
171;852
172;846
173;841
174;837
175;833
176;832
177;830
178;828
179;827
180;825
181;823
182;814
183;806
184;815
185;824
186;820
187;816
188;830
189;845
190;835
191;826
192;824
193;822
194;846
195;870
196;882
197;894
198;887
199;880
200;879
201;878
202;888
203;898
204;897
205;897
206;898
207;900
208;903
209;906
210;932
211;959
212;971
213;984
214;978
215;972
216;994
217;1016
218;1055
219;1094
220;1124
221;1154
222;1182
223;1210
224;1276
225;1343
226;1401
227;1459
228;1565
229;1671
230;1824
231;1977
232;2123
233;2269
234;2477
235;2684
236;2896
237;3108
238;3324
239;3540
240;3631
241;3723
242;3708
243;3693
244;3601
245;3510
246;3333
247;3157
248;2979
249;2802
250;2611
251;2420
252;2242
253;2065
254;1909
255;1754
256;1674
257;1594
258;1523
259;1452
260;1381
261;1311
262;1260
263;1210
264;1192
265;1175
266;1140
267;1104
268;1067
269;1029
270;1025
271;1021
272;993
273;966
274;963
275;961
276;957
277;952
278;953
279;954
280;932
281;910
282;901
283;893
284;877
285;861
286;877
287;893
288;878
289;863
290;856
291;848
292;841
293;834
294;828
295;822
296;828
297;835
298;836
299;838
300;853
301;869
302;848
303;827
304;829
305;831
306;838
307;845
308;837
309;830
310;831
311;832
312;826
313;820
314;828
315;836
316;830
317;825
318;826
319;828
320;836
321;844
322;836
323;828
324;810
325;792
326;805
327;818
328;832
329;846
330;842
331;839
332;820
333;801
334;829
335;857
336;846
337;835
338;829
339;824
340;820
341;817
342;836
343;855
344;835
345;816
346;823
347;830
348;836
349;842
350;836
351;831
352;844
353;857
354;866
355;875
356;892
357;910
358;894
359;879
360;865
361;851
362;864
363;877
364;876
365;876
366;886
367;896
368;901
369;907
370;910
371;914
372;918
373;922
374;910
375;898
376;904
377;911
378;919
379;927
380;917
381;907
382;931
383;956
384;941
385;926
386;933
387;941
388;960
389;980
390;982
391;984
392;977
393;970
394;996
395;1021
396;1000
397;979
398;979
399;979
400;987
401;995
402;998
403;1002
404;986
405;969
406;982
407;995
408;1005
409;1016
410;1026
411;1036
412;1036
413;1037
414;1048
415;1060
416;1058
417;1057
418;1065
419;1074
420;1089
421;1104
422;1092
423;1080
424;1083
425;1087
426;1093
427;1100
428;1101
429;1102
430;1110
431;1118
432;1128
433;1139
434;1128
435;1116
436;1125
437;1133
438;1131
439;1130
440;1122
441;1114
442;1119
443;1125
444;1139
445;1153
446;1135
447;1117
448;1134
449;1152
450;1159
451;1167
452;1147
453;1127
454;1118
455;1110
456;1120
457;1130
458;1138
459;1147
460;1142
461;1138
462;1154
463;1170
464;1155
465;1140
466;1140
467;1140
468;1135
469;1130
470;1141
471;1153
472;1135
473;1118
474;1126
475;1134
476;1141
477;1148
478;1127
479;1107
480;1115
481;1124
482;1127
483;1130
484;1123
485;1117
486;1098
487;1079
488;1098
489;1118
490;1101
491;1084
492;1087
493;1090
494;1079
495;1068
496;1062
497;1057
498;1063
499;1069
500;1058
501;1047
502;1035
503;1023
504;1047
505;1071
506;1069
507;1067
508;1052
509;1038
510;1033
511;1029
512;1025
513;1022
514;1028
515;1034
516;1017
517;999
518;1008
519;1018
520;999
521;981
522;983
523;984
524;988
525;991
526;994
527;998
528;1001
529;1004
530;997
531;990
532;985
533;979
534;981
535;982
536;995
537;1008
538;989
539;970
540;953
541;937
542;948
543;960
544;968
545;977
546;960
547;943
548;932
549;921
550;937
551;953
552;945
553;937
554;932
555;928
556;935
557;943
558;935
559;928
560;934
561;940
562;907
563;873
564;899
565;925
566;918
567;911
568;899
569;887
570;892
571;897
572;881
573;865
574;889
575;914
576;911
577;909
578;910
579;910
580;901
581;892
582;888
583;884
584;879
585;874
586;884
587;895
588;870
589;845
590;856
591;867
592;874
593;881
594;887
595;893
596;877
597;861
598;854
599;847
600;863
601;880
602;901
603;923
604;897
605;872
606;874
607;876
608;876
609;877
610;877
611;877
612;868
613;859
614;872
615;886
616;884
617;882
618;880
619;878
620;877
621;876
622;889
623;902
624;896
625;890
626;886
627;882
628;900
629;918
630;908
631;898
632;906
633;915
634;918
635;921
636;930
637;939
638;936
639;933
640;933
641;932
642;933
643;935
644;952
645;970
646;997
647;1024
648;1036
649;1049
650;1065
651;1081
652;1075
653;1069
654;1092
655;1116
656;1136
657;1157
658;1199
659;1241
660;1279
661;1317
662;1382
663;1448
664;1492
665;1536
666;1591
667;1647
668;1728
669;1809
670;1854
671;1900
672;2035
673;2171
674;2259
675;2347
676;2438
677;2530
678;2682
679;2834
680;2912
681;2991
682;3107
683;3223
684;3228
685;3232
686;3181
687;3130
688;3013
689;2896
690;2735
691;2573
692;2385
693;2197
694;2056
