x-axis,1,2,3
second,Volt,Volt,Volt
-5.96000E-03,+28.64996E-03,+9.37500E-03,+3.12500E-03
-5.94000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-5.92000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-5.90000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-5.88000E-03,+28.64996E-03,+9.37500E-03,+4.68750E-03
-5.86000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-5.84000E-03,+34.89996E-03,-6.25000E-03,+3.12500E-03
-5.82000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-5.80000E-03,+28.64996E-03,-37.50000E-03,+4.68750E-03
-5.78000E-03,+28.64996E-03,+9.37500E-03,+3.12500E-03
-5.76000E-03,+16.14996E-03,+9.37500E-03,+3.12500E-03
-5.74000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-5.72000E-03,+28.64996E-03,-21.87500E-03,+3.12500E-03
-5.70000E-03,+22.39996E-03,-21.87500E-03,+4.68750E-03
-5.68000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-5.66000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-5.64000E-03,+16.14996E-03,-6.25000E-03,+4.68750E-03
-5.62000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-5.60000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-5.58000E-03,+22.39996E-03,+9.37500E-03,+4.68750E-03
-5.56000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-5.54000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-5.52000E-03,+22.39996E-03,-6.25000E-03,+6.25000E-03
-5.50000E-03,+16.14996E-03,-21.87500E-03,+3.12500E-03
-5.48000E-03,+22.39996E-03,+9.37500E-03,+3.12500E-03
-5.46000E-03,+22.39996E-03,+9.37500E-03,+6.25000E-03
-5.44000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-5.42000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-5.40000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-5.38000E-03,+28.64996E-03,-6.25000E-03,+1.56250E-03
-5.36000E-03,+34.89996E-03,+9.37500E-03,+1.56250E-03
-5.34000E-03,+22.39996E-03,+9.37500E-03,+3.12500E-03
-5.32000E-03,+22.39996E-03,-21.87500E-03,+4.68750E-03
-5.30000E-03,+22.39996E-03,+9.37500E-03,+4.68750E-03
-5.28000E-03,+16.14996E-03,-6.25000E-03,+4.68750E-03
-5.26000E-03,+28.64996E-03,+9.37500E-03,+4.68750E-03
-5.24000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-5.22000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-5.20000E-03,+16.14996E-03,+9.37500E-03,+6.25000E-03
-5.18000E-03,+22.39996E-03,+9.37500E-03,+4.68750E-03
-5.16000E-03,+22.39996E-03,-6.25000E-03,+7.81250E-03
-5.14000E-03,+28.64996E-03,-21.87500E-03,+4.68750E-03
-5.12000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-5.10000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-5.08000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-5.06000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-5.04000E-03,+22.39996E-03,+9.37500E-03,+6.25000E-03
-5.02000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-5.00000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-4.98000E-03,+34.89996E-03,-6.25000E-03,+4.68750E-03
-4.96000E-03,+22.39996E-03,-21.87500E-03,+3.12500E-03
-4.94000E-03,+22.39996E-03,+9.37500E-03,+4.68750E-03
-4.92000E-03,+22.39996E-03,+9.37500E-03,+3.12500E-03
-4.90000E-03,+28.64996E-03,+9.37500E-03,+3.12500E-03
-4.88000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-4.86000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-4.84000E-03,+28.64996E-03,-21.87500E-03,+6.25000E-03
-4.82000E-03,+22.39996E-03,+9.37500E-03,+3.12500E-03
-4.80000E-03,+16.14996E-03,-6.25000E-03,+3.12500E-03
-4.78000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-4.76000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-4.74000E-03,+34.89996E-03,+9.37500E-03,+4.68750E-03
-4.72000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-4.70000E-03,+22.39996E-03,-21.87500E-03,+3.12500E-03
-4.68000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-4.66000E-03,+34.89996E-03,-6.25000E-03,+3.12500E-03
-4.64000E-03,+34.89996E-03,-21.87500E-03,+3.12500E-03
-4.62000E-03,+22.39996E-03,-21.87500E-03,+6.25000E-03
-4.60000E-03,+22.39996E-03,-6.25000E-03,+6.25000E-03
-4.58000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-4.56000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-4.54000E-03,+22.39996E-03,-21.87500E-03,+4.68750E-03
-4.52000E-03,+16.14996E-03,-21.87500E-03,+3.12500E-03
-4.50000E-03,+28.64996E-03,-21.87500E-03,+3.12500E-03
-4.48000E-03,+22.39996E-03,-21.87500E-03,+6.25000E-03
-4.46000E-03,+28.64996E-03,-21.87500E-03,+4.68750E-03
-4.44000E-03,+16.14996E-03,-6.25000E-03,+4.68750E-03
-4.42000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-4.40000E-03,+16.14996E-03,+9.37500E-03,+4.68750E-03
-4.38000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-4.36000E-03,+28.64996E-03,-21.87500E-03,+4.68750E-03
-4.34000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-4.32000E-03,+16.14996E-03,+9.37500E-03,+4.68750E-03
-4.30000E-03,+28.64996E-03,-6.25000E-03,+1.56250E-03
-4.28000E-03,+28.64996E-03,+9.37500E-03,+4.68750E-03
-4.26000E-03,+28.64996E-03,+9.37500E-03,+4.68750E-03
-4.24000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-4.22000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-4.20000E-03,+28.64996E-03,-21.87500E-03,+3.12500E-03
-4.18000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-4.16000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-4.14000E-03,+41.14996E-03,-6.25000E-03,+3.12500E-03
-4.12000E-03,+22.39996E-03,+9.37500E-03,+4.68750E-03
-4.10000E-03,+28.64996E-03,+9.37500E-03,+3.12500E-03
-4.08000E-03,+22.39996E-03,-21.87500E-03,+4.68750E-03
-4.06000E-03,+22.39996E-03,-37.50000E-03,+4.68750E-03
-4.04000E-03,+16.14996E-03,+9.37500E-03,+3.12500E-03
-4.02000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-4.00000E-03,+28.64996E-03,+9.37500E-03,+4.68750E-03
-3.98000E-03,+34.89996E-03,-6.25000E-03,+4.68750E-03
-3.96000E-03,+22.39996E-03,-21.87500E-03,+3.12500E-03
-3.94000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-3.92000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-3.90000E-03,+28.64996E-03,-21.87500E-03,+3.12500E-03
-3.88000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-3.86000E-03,+22.39996E-03,+9.37500E-03,+6.25000E-03
-3.84000E-03,+28.64996E-03,-21.87500E-03,+4.68750E-03
